,date_time_customer,bigbuy_order_id,delta
1413,2019-07-03T10:36:04.000+02:00,11521692,3.0
1417,2019-04-18T10:30:04.000+02:00,11432053,3.0
1420,2019-04-30T16:49:26.000+02:00,11443615,3.0
1421,2019-06-24T23:30:16.000+02:00,11509389,3.0
1437,2019-04-29T23:14:15.000+02:00,11442968,4.0
1443,2019-07-01T11:24:17.000+02:00,11518061,3.0
1448,2019-06-26T12:57:07.000+02:00,11511861,3.0
1459,2019-06-24T13:50:02.000+02:00,11508563,3.0
1462,2019-04-18T15:17:47.000+02:00,11432341,3.0
1463,2019-07-04T23:52:15.000+02:00,11524417,4.0
1471,2019-04-28T17:33:11.000+02:00,11440969,4.0
1475,2019-07-25T23:43:58.000+02:00,11554442,3.0
1479,2019-06-25T21:51:09.000+02:00,11511025,3.0
1484,2019-07-03T21:46:38.000+02:00,11522730,3.0
1514,2019-06-25T11:39:14.000+02:00,11510066,3.0
1523,2019-07-03T15:29:30.000+02:00,11522328,3.0
1528,2019-04-17T23:26:33.000+02:00,11431893,4.0
1536,2019-06-25T13:14:19.000+02:00,11510260,4.0
1540,2019-06-25T16:13:00.000+02:00,11510602,3.0
1552,2019-04-29T20:54:48.000+02:00,11442655,4.0
1555,2019-06-26T22:22:02.000+02:00,11512865,3.0
1561,2019-06-25T12:13:19.000+02:00,11510131,3.0
1566,2019-07-03T22:42:25.000+02:00,11522769,3.0
1581,2019-07-08T13:29:26.000+02:00,11530161,3.0
1585,2019-07-03T18:34:54.000+02:00,11522509,3.0
1595,2019-06-27T00:03:09.000+02:00,11513133,3.0
1604,2019-07-11T18:45:07.000+02:00,11535713,3.0
1613,2019-06-25T23:44:39.000+02:00,11511320,4.0
1618,2019-07-03T12:55:12.000+02:00,11522032,3.0
1619,2019-07-03T00:56:09.000+02:00,11521398,3.0
1633,2019-04-18T10:38:37.000+02:00,11432054,3.0
1638,2019-07-08T21:14:19.000+02:00,11530786,3.0
1640,2019-04-17T13:44:49.000+02:00,11431329,5.0
1664,2019-06-25T08:45:45.000+02:00,11509706,3.0
1668,2019-07-02T18:05:11.000+02:00,11520705,3.0
1675,2019-06-28T22:47:02.000+02:00,11515751,3.0
